english,russian,sentence,difficulty
school,школа,My little sister goes to **school**.,1
university,университет,She studies at a famous **university**.,2
college,колледж,He dropped out of **college** last year.,2
kindergarten,детский сад,My son loves his **kindergarten**.,2
classroom,классная комната,The **classroom** was full of students.,2
library,библиотека,I borrowed three books from the **library**.,2
lab,лаборатория,We did experiments in the chemistry **lab**.,3
hallway,коридор,Students ran through the **hallway** loudly.,3
playground,площадка,Kids were playing on the **playground**.,2
cafeteria,столовая,Let's have lunch in the **cafeteria**.,3
dorm,общежитие,He shares a **dorm** with two roommates.,3
campus,кампус,The **campus** has beautiful old buildings.,3
lecture,лекция,Today's **lecture** was really interesting.,2
student,студент,Every **student** must bring a notebook.,1
pupil,ученик,The **pupil** raised his hand quickly.,2
classmate,одноклассник,My **classmate** helped me with homework.,2
professor,профессор,The **professor** explained the theory clearly.,2
principal,директор,The **principal** called my parents yesterday.,3
dean,декан,The **dean** gave a welcome speech.,4
tutor,репетитор,I hired a math **tutor** for summer.,3
mentor,наставник,She became my **mentor** last year.,3
librarian,библиотекарь,The **librarian** recommended a great novel.,3
freshman,первокурсник,He is just a **freshman** this year.,3
graduate,выпускник,She is a **graduate** of Harvard.,3
math,математика,I love solving **math** problems.,1
algebra,алгебра,We started learning **algebra** last week.,3
geometry,геометрия,**Geometry** is about shapes and angles.,3
biology,биология,She wants to major in **biology**.,2
chemistry,химия,**Chemistry** class was cancelled today.,2
physics,физика,He failed his **physics** exam twice.,2
history,история,Ancient **history** is my favorite subject.,2
geography,география,We studied African **geography** today.,2
literature,литература,English **literature** includes many classics.,3
grammar,грамматика,Russian **grammar** is quite difficult.,2
vocabulary,словарный запас,Build your **vocabulary** every single day.,3
art,рисование,Her **art** teacher is very kind.,1
music,музыка,**Music** class is every Tuesday morning.,1
subject,предмет,What **subject** do you like most?,2
subject,подвергать,Don't **subject** him to such pressure.,4
pen,ручка,Can I borrow your **pen** please?,1
pencil,карандаш,My **pencil** broke during the test.,1
eraser,ластик,I need an **eraser** for this mistake.,2
ruler,линейка,Draw a straight line with a **ruler**.,2
ruler,правитель,The **ruler** made harsh new laws.,3
marker,маркер,She used a red **marker** on the board.,3
chalk,мел,Old classrooms still use white **chalk**.,3
blackboard,доска,He wrote the formula on the **blackboard**.,3
paper,бумага,Give me a sheet of **paper** please.,1
paper,статья,His **paper** was published last month.,3
notebook,тетрадь,Write your notes in this **notebook**.,2
textbook,учебник,Open your **textbook** to page forty.,2
dictionary,словарь,Use a **dictionary** to check spelling.,2
folder,папка,Put the documents in this **folder**.,2
binder,скоросшиватель,She organized everything in one **binder**.,3
backpack,рюкзак,My **backpack** is too heavy today.,2
calculator,калькулятор,You can't use a **calculator** on this test.,2
microscope,микроскоп,Look at the cells through the **microscope**.,3
study,учиться,I need to **study** for my finals.,1
learn,учить,Children **learn** languages very fast.,1
explain,объяснять,Can you **explain** this problem again?,2
listen,слушать,Please **listen** to the teacher carefully.,1
copy,переписывать,Don't **copy** my homework again.,2
copy,копия,Make a **copy** of this document.,2
highlight,выделить,Please **highlight** the main ideas.,3
highlight,главное событие,That lesson was the **highlight** of my week.,4
debate,дебаты,The **debate** about climate was heated.,3
discuss,обсуждать,Let's **discuss** this after the lecture.,2
memorize,запоминать,I had to **memorize** fifty words.,3
revise,повторять,I need to **revise** before the exam.,3
solve,решать,Try to **solve** this equation yourself.,2
draw,рисовать,Please **draw** a circle on the paper.,2
fail,провалить,I don't want to **fail** this course.,2
pass,сдать,Did you **pass** your driving test?,2
pass,передавать,Please **pass** me the textbook.,2
enroll,записаться,I want to **enroll** in this course.,3
register,регистрироваться,You must **register** before next Monday.,3
skip,прогуливать,Don't **skip** your math lessons again.,3
test,тест,We have a **test** tomorrow morning.,1
exam,экзамен,The final **exam** is next week.,1
quiz,опрос,There's a short **quiz** every Friday.,3
final,итоговый экзамен,I'm preparing hard for the **final**.,3
final,окончательный,This is my **final** decision.,2
grade,оценка,She got the highest **grade** in class.,2
grade,класс,He is in the fifth **grade** now.,2
mark,оценка,My **mark** on this essay was low.,2
mark,отметка,Put a **mark** next to each answer.,2
score,счёт,What was your **score** on the test?,2
cheat,списывать,Never **cheat** during an important exam.,3
retake,пересдать,I will **retake** the exam next month.,3
homework,домашнее задание,Did you finish your **homework** yet?,1
assignment,задание,This **assignment** is due tomorrow.,2
essay,сочинение,Write a short **essay** about summer.,2
presentation,презентация,My **presentation** lasted ten minutes.,2
due,срок сдачи,The report is **due** this Friday.,3
overdue,просроченный,My library book is already **overdue**.,4
clever,сообразительный,She is a very **clever** student.,2
bored,скучающий,The kids looked **bored** during history.,2
curious,любопытный,A **curious** mind learns faster.,3
focused,сосредоточенный,Stay **focused** during the lecture.,3
distracted,рассеянный,He seems **distracted** in class today.,3
sophomore,второкурсник,My brother is a **sophomore** at a local college.,3
junior,третьекурсник,As a **junior** she took advanced chemistry classes.,3
undergraduate,студент бакалавриата,Every **undergraduate** must complete a writing course.,4
postgraduate,аспирант,She pursued a **postgraduate** degree in linguistics.,4
alumnus,выпускник,He is a proud **alumnus** of that small school.,4
alumna,выпускница,The famous scientist is an **alumna** of our academy.,4
alumni,выпускники,The **alumni** gathered for their annual dinner.,3
faculty,преподавательский состав,The **faculty** voted to extend the spring break.,3
dormitory,общежитие,Freshmen usually live in the oldest **dormitory**.,3
laboratory,лаборатория,Students conducted experiments in the chemistry **laboratory**.,3
auditorium,актовый зал,The whole school gathered in the main **auditorium**.,3
gymnasium,спортзал,We played basketball in the new **gymnasium** yesterday.,3
quadrangle,внутренний двор,Students picnic on the grassy **quadrangle** at noon.,4
headmaster,директор,The **headmaster** welcomed parents at the open house.,3
headmistress,директриса,Our strict **headmistress** enforced the uniform policy.,3
chancellor,ректор,The university **chancellor** gave a short welcome speech.,4
lecturer,лектор,The visiting **lecturer** explained the theory clearly.,3
educator,педагог,She is a passionate **educator** with twenty years experience.,3
proctor,наблюдатель,The **proctor** walked around during the final exam.,4
chaperone,сопровождающий,A parent **chaperone** joined us on the field trip.,4
peer,сверстник,My study **peer** helped me prepare for the test.,3
schoolmate,школьный друг,I met an old **schoolmate** at the grocery store.,2
roommate,сосед по комнате,My college **roommate** snores loudly every single night.,2
briefcase,портфель,The professor carried a leather **briefcase** to class.,3
satchel,ранец,Her daughter proudly wore her new **satchel** to school.,4
knapsack,рюкзак,He packed his blue **knapsack** with textbooks.,3
locker,шкафчик,Each student gets a small **locker** near the hallway.,2
sharpener,точилка,I need a pencil **sharpener** for my drawings.,2
crayon,цветной карандаш,The child drew a sun with a yellow **crayon**.,2
scissors,ножницы,Kids use safety **scissors** in their art class.,2
projector,проектор,The teacher connected her laptop to the classroom **projector**.,3
globe,глобус,A dusty **globe** stood on the geography teacher's desk.,3
atlas,атлас,We studied rivers using a colorful world **atlas**.,3
encyclopedia,энциклопедия,My grandma kept an old **encyclopedia** on her shelf.,3
almanac,альманах,The farmer's **almanac** predicted a very cold winter.,4
poster,плакат,A bright science **poster** hung above the blackboard.,2
diagram,схема,The biology **diagram** showed the stages of cell division.,3
graph,график,She drew a neat **graph** to show the results.,3
equation,уравнение,He solved the tough math **equation** on the board.,3
formula,формула,I memorized the chemistry **formula** for the final.,3
theorem,теорема,The geometry **theorem** proved the triangle was equal.,4
hypothesis,гипотеза,Our group tested a simple **hypothesis** about plant growth.,4
bursary,стипендия,She received a **bursary** to cover her tuition costs.,5
grant,грант,He won a research **grant** for his senior project.,3
fees,взносы,The annual **fees** for this school keep rising.,3
registrar,регистратор,The **registrar** helped me sign up for new courses.,4
acceptance,зачисление,She received an **acceptance** letter from her dream school.,4
rejection,отказ,Getting a **rejection** letter from college was tough.,3
recommendation,рекомендация,He asked his teacher for a **recommendation** letter.,3
commencement,выпускная церемония,The **commencement** ceremony lasted almost three hours.,5
proficiency,владение,Her language **proficiency** improved after studying abroad.,4
mastery,мастерство,True **mastery** of math requires years of practice.,4
comprehension,понимание,Reading **comprehension** is tested on every final exam.,4
recall,воспроизведение,Good memory helps with **recall** during oral exams.,4
retention,запоминание,Note-taking improves your **retention** of new information.,4
mnemonic,мнемоника,I use a **mnemonic** to remember the planets.,5
flashcard,карточка,I studied each **flashcard** before the vocabulary quiz.,2
syllabus,программа курса,Please read the **syllabus** before the first class.,3
semester,семестр,This **semester** I am taking five difficult courses.,2
trimester,триместр,Our school uses a **trimester** system instead of semesters.,4
workshop,мастер-класс,I attended a writing **workshop** after school today.,2
seminar,семинар,The philosophy **seminar** meets every Tuesday afternoon.,3
lesson,урок,Today's English **lesson** was about irregular verbs.,2
schooling,образование,His early **schooling** took place in a small town.,3
matriculate,поступать,Students **matriculate** after passing all entrance tests.,5
convocation,торжественное собрание,The annual **convocation** opens the academic year.,5
mascot,талисман,Our school **mascot** is a friendly golden eagle.,2
uniform,форма,Every student wears a blue **uniform** daily.,2
blazer,пиджак,The boys' **blazer** has a small school crest.,3
dropout,бросивший учёбу,The high school **dropout** later became a famous writer.,3
truant,прогульщик,The **truant** was caught skipping his afternoon classes.,5
truancy,прогул уроков,**Truancy** rates dropped after the new rules.,5
curriculum,учебная программа,The new **curriculum** includes coding and critical thinking.,3
certificate,сертификат,She earned a **certificate** in basic computer skills.,2
scholarship,стипендия,He won a full **scholarship** to a top university.,3
diploma,диплом,She proudly framed her high school **diploma**.,2
degree,степень,He earned a bachelor's **degree** in biology.,2
valedictorian,лучший выпускник,She became **valedictorian** of her graduating class.,4
salutatorian,выпускник второй по успеваемости,The **salutatorian** gave a touching farewell speech.,5
tuition,плата за обучение,College **tuition** costs have risen sharply this year.,3
attendance,посещаемость,Good **attendance** is required to pass this course.,3
absence,отсутствие,Her frequent **absence** worried her concerned teachers.,2
tardiness,опоздание,Repeated **tardiness** will lower your participation grade.,4
midterm,промежуточный экзамен,I studied all weekend for the history **midterm**.,3
thesis,диссертация,She defended her master's **thesis** last month.,4
dissertation,докторская диссертация,His doctoral **dissertation** took four years to complete.,5
rubric,критерии оценки,The teacher explained the grading **rubric** for our essays.,4
transcript,академическая справка,I ordered an official **transcript** for my application.,4
cram,зубрить,I had to **cram** for the chemistry final overnight.,3
recite,декламировать,Each student had to **recite** a short poem aloud.,3
plagiarize,заниматься плагиатом,If you **plagiarize** the essay you will fail.,4
suspension,отстранение,His **suspension** lasted three full school days.,3
expulsion,исключение,The fight led to his permanent **expulsion** from school.,4
bully,задира,A **bully** was making fun of the younger kids.,2
bullying,травля,The school launched a campaign against **bullying**.,3
protractor,транспортир,You need a **protractor** to measure these angles.,4
philosophy,философия,I took an introduction to **philosophy** course last term.,3
rhetoric,риторика,The debate club practices **rhetoric** and public speaking.,4
composition,сочинение,My English **composition** received very positive feedback.,3
calculus,математический анализ,**Calculus** is usually the hardest math class.,4
questions,вопросы,Do you have any **questions** about the lesson?,2
class,класс,I have math **class** at nine in the morning.,2
finished,закончил,He **finished** his homework before dinner.,2
attention,внимание,Please pay **attention** to the teacher.,2
count,считать,Can you **count** to one hundred?,2
difficult,трудный,This math problem is really **difficult**.,2
english,английский,She teaches **English** at the local school.,1
books,книги,I love reading old **books** at night.,1
bell,звонок,The school **bell** rang at three o'clock.,2
writing,письмо,I enjoy **writing** letters to my friends.,2
german,немецкий,I'm learning **German** in my evening class.,2
correct,правильный,Your answer is **correct** this time.,2
language,язык,English is a beautiful **language** to learn.,2
students,студенты,The **students** are preparing for final exams.,2
spanish,испанский,She teaches **Spanish** at the university.,2
failed,провалил,He **failed** the math test again.,2
harder,сложнее,This exam is much **harder** than the last one.,2
page,страница,Please turn to **page** fifty in your book.,1
knowledge,знание,**Knowledge** is the key to real success.,3
answers,ответы,The teacher checked all the **answers** carefully.,2
raised,поднял,He **raised** his hand to ask a question.,2
result,результат,The test **result** surprised everyone,2
intelligence,интеллект,Her **intelligence** impressed all the teachers,3
notes,заметки,I take **notes** during every lecture,1
marks,отметки,She got good **marks** in math,2
section,раздел,Read the next **section** of the book,3
progress,прогресс,She made great **progress** in English,3
tests,тесты,We have two math **tests** tomorrow,2
sentence,предложение,Please write a short **sentence** using this word,2
learning,обучение,**Learning** a new language takes time and patience,2
percent,процент,Only ten **percent** of students passed the exam,2
education,образование,**Education** is the key to a better future,3
studying,учиться,She is **studying** for her final exam tonight.,1
teaching,обучение,**Teaching** children requires a lot of patience.,2
behavior,поведение,Her **behavior** at school has improved this year.,3
explanation,объяснение,Please give me a clear **explanation** of the problem.,3
asks,спрашивает,She always **asks** good questions during class.,2
cheating,обманывающий,He was caught **cheating** on the math test.,3
drawing,рисунок,Her **drawing** of the mountain won first prize.,2
contest,конкурс,She won first place in the singing **contest**.,2
concentrate,сосредоточиться,I cannot **concentrate** with all this noise.,3
unlike,в отличие,"**Unlike** his brother, he actually enjoys studying math.",3
lessons,уроки,She takes piano **lessons** twice a week.,1
classes,занятия,I have three **classes** this afternoon at the university.,1
deaf,глухой,The teacher learned sign language to communicate with her **deaf** student.,3
highest,наивысший,She received the **highest** score in the class on the final exam.,2
academy,академия,She was accepted into the prestigious **academy** after three rounds of auditions.,4
schools,школы,Several **schools** in the district closed early due to the severe snowstorm.,2
studies,учёба,Her **studies** are going well and she expects to graduate in spring.,2
punished,наказанный,The student was **punished** for cheating on the final exam.,3
groups,группы,Students were divided into small **groups** to work on the project.,2
studied,изученный,He **studied** medicine for six years before becoming a doctor.,2
teachers,учителя,The **teachers** held a meeting to discuss the new curriculum.,2
arts,искусство,She studied the **arts** at university before switching to graphic design.,3
poetry,поэзия,She discovered a love for **poetry** while studying Russian literature at university.,3
goddess,богиня,Athena was the **goddess** of wisdom in ancient Greek mythology.,4
anxious,тревожный,She felt **anxious** waiting for her exam results to arrive.,3
structure,структура,The report lacked clear **structure** and was difficult to follow.,3
concept,концепция,The professor explained the **concept** clearly with a simple diagram.,4
foundation,основа,A good education is the **foundation** of a successful career.,3
wisdom,мудрость,She admired the **wisdom** of the ancient philosopher's writing.,4
delighted,в восторге,She was absolutely **delighted** when she found out she had passed the exam.,3
wars,войны,The history class covered the major **wars** of the twentieth century.,4
trigonometry,тригонометрия,**Trigonometry** deals with the relationships between angles and sides.,4
sociology,социология,She chose **sociology** as her major because she loves studying human behavior.,4
psychology,психология,**Psychology** explains why people think and act the way they do.,4
counselor,школьный психолог,The **counselor** helped me choose the right courses for next year.,3
prom,выпускной бал,Everyone spent weeks planning their outfits for the school **prom**.,3
orientation,ориентационная неделя,New students attend **orientation** to learn how the campus works.,3
elective,факультатив,I chose drama as my **elective** for the spring semester.,3
prerequisite,предварительное требование,Statistics is a **prerequisite** for this advanced data course.,4
compulsory,обязательный,Physical education is **compulsory** for all students in the first year.,4
enrollment,зачисление,**Enrollment** for the new term opens on the first of March.,3
distinction,отличие с отличием,She graduated with **distinction** after four years of hard work.,4
merit,заслуга,The award is given on **merit** rather than on attendance alone.,4
rank,место в рейтинге,He finished first in the class **rank** after a very tough semester.,3
extracurricular,внеклассный,Joining an **extracurricular** activity helps you make friends outside class.,4
clique,группировка,Every school has at least one **clique** that is hard to join.,3
feedback,обратная связь,The teacher gave detailed **feedback** on every paragraph of our essay.,3
revision,повторение материала,Good **revision** the night before an exam really helps your memory.,3
plagiarism,плагиат,Copying another student's work is a serious form of **plagiarism**.,4
bibliography,список литературы,Every research paper must include a full **bibliography** at the end.,4
cite,ссылаться,Always **cite** your sources when you write an academic essay.,3
analyze,анализировать,Students must **analyze** the poem before writing their response.,3
evaluate,оценивать,The teacher asked us to **evaluate** the strength of each argument.,3
summarize,кратко излагать,Can you **summarize** the chapter in three clear sentences?,3
comprehend,понимать,It is hard to **comprehend** the theory without reading the textbook.,3
annotate,делать пометки,She likes to **annotate** her textbooks with short notes in the margins.,4
paraphrase,перефразировать,The teacher asked us to **paraphrase** the passage in our own words.,4
outline,план,Write a brief **outline** before you start your essay.,3
proofread,редактировать,Always **proofread** your essay before handing it in.,3
coursework,курсовая работа,The final grade includes both the exam and the **coursework** score.,4
assessment,оценивание,The **assessment** included a written test and an oral component.,3
criterion,критерий,Each **criterion** on the rubric is worth a different number of points.,4
deduction,вычет,Points were taken by **deduction** for every spelling mistake in the test.,4
recitation,декламация,He practiced his poem for the Friday **recitation** contest.,4
immersion,языковое погружение,Language **immersion** programs help students become fluent very quickly.,4
bilingual,двуязычный,A **bilingual** education lets children learn in two languages at once.,4
fluency,беглость речи,Reading every day will help you develop real **fluency** in English.,4
pronunciation,произношение,Her **pronunciation** improved a lot after just three months abroad.,3
spelling,правописание,The teacher corrected my **spelling** mistakes in red ink.,2
punctuation,пунктуация,Good **punctuation** makes your writing much easier to read.,3
prefix,приставка,The **prefix** un- usually means the opposite of something.,3
suffix,суффикс,Adding the **suffix** -tion turns many verbs into nouns in English.,3
syntax,синтаксис,Understanding **syntax** helps you write grammatically correct sentences.,4
tense,время глагола,She used the wrong **tense** in every sentence of her essay.,3
conjugation,спряжение,The teacher drilled verb **conjugation** until everyone knew it by heart.,4
detention,задержание после уроков,He received a **detention** for talking during the final exam.,3
homeroom,класс,Every morning we meet in our **homeroom** before lessons begin.,3
honors,почести,She graduated with **honors** after maintaining top grades for four years.,3
honor roll,список отличников,Getting on the **honor roll** every term is her main goal.,3
student council,совет учащихся,The **student council** organized the annual charity bake sale.,3
superintendent,суперинтендант,The **superintendent** visited our school to review the new curriculum.,5
academic,учебный,**Academic** performance matters but so does personal growth.,3
scholastic,школьный,Her **scholastic** achievements earned her a place at a top college.,4
varsity,сборная школы,He made the **varsity** basketball team in his very first year.,4
intramural,внутришкольный,The **intramural** volleyball league is open to all year groups.,5
study hall,период самоподготовки,We used **study hall** to finish our history reading assignment.,3
book report,отзыв о книге,Each student must submit a **book report** at the end of term.,2
term paper,курсовая работа,Her **term paper** on climate change impressed the whole department.,3
research paper,научная работа,Writing a strong **research paper** requires careful reading and note-taking.,3
lab report,отчёт о лабораторной работе,The chemistry teacher handed back our **lab report** with detailed comments.,3
field trip,экскурсия,Our class went on a **field trip** to the local science museum.,2
science fair,выставка научных проектов,She won first prize at the regional **science fair** with her project.,3
spelling bee,конкурс правописания,He made it to the final round of the school **spelling bee**.,3
open day,день открытых дверей,Parents visited the school on **open day** to meet the teachers.,3
oral exam,устный экзамен,The **oral exam** terrified me far more than the written test.,3
note-taking,конспектирование,Good **note-taking** skills will help you throughout your academic career.,3
accredited,аккредитованный,Make sure the program is **accredited** before you apply and pay fees.,4
accreditation,аккредитация,The college lost its **accreditation** after failing the inspection.,5
internship,стажировка,She completed a summer **internship** at a local engineering company.,3
apprenticeship,ученичество,He chose an **apprenticeship** over university to learn a practical trade.,4
vocational,профессиональный,A **vocational** course teaches hands-on skills for a specific career.,3
school board,школьный совет,The **school board** approved the new science curriculum last Tuesday.,4
honor society,почётное общество,Membership in the **honor society** is a great addition to any resume.,4
class president,президент класса,She ran for **class president** on a platform of better school lunches.,3
workbook,рабочая тетрадь,Complete exercises one through ten in your **workbook** for homework.,2
handout,раздаточный материал,The teacher gave each student a **handout** with the key vocabulary.,2
keynote,основной доклад,The professor gave a **keynote** lecture at the international education summit.,4
repetition,повторение,**Repetition** is one of the most effective ways to memorize new words.,3
multilingual,многоязычный,A **multilingual** classroom can be a challenge and a great advantage.,4
native,родной,It takes years to speak a second language like a **native** speaker.,2
abbreviation,сокращение,The teacher explained that PE is an **abbreviation** for physical education.,3
acronym,аббревиатура,NASA is an **acronym** that most students learn in their first year.,3
require,требовать,Most universities **require** applicants to submit two letters of recommendation.,3
advanced,продвинутый,This course is designed for **advanced** learners with two years of experience.,3
conduct,поведение / проводить,The teacher asked the students to improve their **conduct** in class.,3
fairly,довольно,The exam was **fairly** easy compared to last year.,2
holidays,каникулы,The children count the days until the **holidays** begin.,1
develop,развивать,It takes years to **develop** a skill like that.,2
borrowed,одолженный,She returned the **borrowed** book to the library before the deadline.,2
masters,магистратура,She decided to apply for a **masters** degree after finishing her first year at work.,3
poet,поэт,The **poet** spent years revising the same collection before finally agreeing to publish it.,4
oldest,старейший,He is the **oldest** student in the class.,2
application,заявление,He submitted his **application** for the university programme last week.,4
clubs,клубы,He joined several **clubs** at school to meet new people.,2
