onboarding,адаптация,Her **onboarding** took two full weeks.,3
offboarding,увольнение,The **offboarding** process includes an exit interview.,4
hybrid,гибридный,We use a **hybrid** schedule this year.,2
workflow,рабочий процесс,Our team improved the entire **workflow** last month.,3
pipeline,конвейер,The sales **pipeline** looks very promising today.,3
bottleneck,узкое место,This server is the main **bottleneck** now.,4
standup,планёрка,The daily **standup** starts at nine sharp.,3
retrospective,ретроспектива,We hold a **retrospective** every two weeks.,4
backlog,бэклог,The team cleared the **backlog** before Friday.,4
deliverable,результат работы,Each **deliverable** must meet strict client standards.,4
milestone,веха,We reached an important **milestone** this quarter.,3
roadmap,дорожная карта,The product **roadmap** was updated last week.,3
stakeholder,заинтересованное лицо,Every **stakeholder** must approve this proposal.,4
scope,объём,We need to define the project **scope**.,3
timesheet,табель,Please submit your **timesheet** by Monday.,3
quota,квота,She hit her sales **quota** in March.,3
workload,нагрузка,His **workload** doubled after the merger.,3
headcount,численность персонала,The **headcount** grew by ten this year.,4
teleconference,телеконференция,The **teleconference** lasted almost two hours.,4
videoconference,видеоконференция,We joined the **videoconference** from home.,3
kpi,ключевой показатель,Each team tracks its own **kpi**.,4
agile,гибкий,Our company uses an **agile** methodology.,3
kanban,канбан,The team manages tasks with a **kanban** board.,4
payroll,фонд оплаты труда,The **payroll** is processed every Friday.,3
severance,выходное пособие,She received generous **severance** after the layoff.,4
compensation,компенсация,The **compensation** package includes stock options.,3
stipend,стипендия,Interns receive a small monthly **stipend**.,4
recruiter,рекрутер,A **recruiter** contacted me on LinkedIn yesterday.,3
applicant,соискатель,Every **applicant** submits a short writing sample.,3
reference,рекомендация,Please provide a professional **reference** here.,3
promotion,повышение,He got a well-deserved **promotion** last month.,2
demotion,понижение,The **demotion** hurt his confidence badly.,4
resignation,отставка,She handed in her **resignation** yesterday morning.,3
benefits,льготы,The **benefits** include health insurance and dental.,2
allowance,надбавка,Remote workers get a home office **allowance**.,3
reimbursement,возмещение,Submit receipts for travel **reimbursement** each month.,4
tenure,срок работы,Her **tenure** at the firm was impressive.,4
probation,испытательный срок,New hires start with three months **probation**.,4
sabbatical,творческий отпуск,He took a year-long **sabbatical** for research.,4
furlough,принудительный отпуск,Many workers faced a temporary **furlough**.,5
commission,комиссия,Sales reps earn a **commission** on deals.,3
incentive,стимул,The bonus served as a strong **incentive**.,3
perks,бонусы,Free lunch is one of the **perks**.,3
payslip,расчётный листок,Check your **payslip** for the tax deduction.,3
appraisal,аттестация,The annual **appraisal** is scheduled for Friday.,4
dismissal,увольнение,His sudden **dismissal** shocked the entire team.,4
termination,прекращение,The **termination** letter was sent by courier.,4
stapler,степлер,The **stapler** ran out of staples again.,2
paperclip,скрепка,Please attach the pages with a **paperclip**.,2
clipboard,планшет,The inspector carried a **clipboard** everywhere.,3
whiteboard,маркерная доска,He sketched the idea on the **whiteboard**.,2
cubicle,кабинка,Her **cubicle** sits right near the elevator.,3
partition,перегородка,A glass **partition** separates the two offices.,4
lanyard,шнурок для бейджа,His **lanyard** holds both keys and badges.,4
highlighter,маркер,She used a yellow **highlighter** on the contract.,2
envelope,конверт,Please seal the **envelope** before sending it.,2
shredder,шредер,Old files go straight into the **shredder**.,3
photocopier,ксерокс,The **photocopier** broke down this morning again.,3
trashcan,мусорная корзина,The **trashcan** is already full with papers.,2
keyboard,клавиатура,My **keyboard** needs a thorough cleaning today.,2
monitor,монитор,The second **monitor** boosts my productivity significantly.,2
headset,наушники с микрофоном,Please wear your **headset** during calls.,2
mousepad,коврик для мыши,She bought a new ergonomic **mousepad**.,2
notepad,блокнот,He always keeps a **notepad** nearby.,2
badge,бейдж,You need a visitor **badge** to enter.,3
intercom,интерком,She called reception through the **intercom**.,3
breakroom,комната отдыха,Coffee is free in the **breakroom** today.,3
watercooler,кулер,People gossip around the **watercooler** every day.,3
brainstorm,мозговой штурм,Let's **brainstorm** some ideas before the meeting.,3
outsource,передавать на аутсорс,The company will **outsource** customer support next year.,4
escalate,передать выше,Please **escalate** this issue to the manager.,4
prioritize,расставлять приоритеты,We need to **prioritize** the urgent tasks first.,3
mediate,посредничать,The HR manager will **mediate** the dispute.,4
coordinate,координировать,She will **coordinate** the marketing team efforts.,3
facilitate,содействовать,A good leader can **facilitate** open discussion.,4
collaborate,сотрудничать,The teams **collaborate** on monthly reports together.,3
strategize,продумывать стратегию,The executives **strategize** during every quarterly retreat.,5
execute,выполнять,We must **execute** the plan without delays.,3
assign,назначать,The boss will **assign** new tasks tomorrow.,2
finalize,доработать,Let's **finalize** the proposal before lunch today.,3
archive,архивировать,Please **archive** the old emails and reports.,3
debrief,подведение итогов,The team held a short **debrief** afterwards.,4
memo,служебная записка,Read the internal **memo** about new policies.,3
proposal,предложение,The client rejected our latest **proposal** yesterday.,3
quote,расчёт стоимости,Please send me a **quote** by Thursday.,3
estimate,смета,He gave a rough **estimate** of costs.,3
spreadsheet,таблица,She updates the **spreadsheet** every single morning.,3
agenda,повестка,The **agenda** for tomorrow was just shared.,3
handbook,справочник,The employee **handbook** explains all company policies.,3
template,шаблон,Use the official **template** for the report.,3
trainee,стажёр,The new **trainee** learns fast and works hard.,3
apprentice,подмастерье,The **apprentice** studied under a master craftsman.,4
supervisor,руководитель,Her direct **supervisor** approved the vacation request.,3
consultant,консультант,The **consultant** charges two hundred dollars hourly.,3
contractor,подрядчик,An outside **contractor** built our office system.,3
vendor,поставщик,Our main **vendor** raised prices again.,3
executive,руководитель,Every **executive** received stock options last year.,3
analyst,аналитик,The financial **analyst** predicted steady growth ahead.,3
networking,налаживание связей,Good **networking** can open many new doors.,3
commute,поездка на работу,Her daily **commute** takes forty-five minutes.,3
