juicer,соковыжималка,I bought a powerful **juicer** to make fresh orange juice every morning.,3,kitchen
slicer,слайсер,The deli **slicer** cuts ham into paper-thin pieces very quickly.,3,kitchen
chopper,измельчитель,A small electric **chopper** saves time when preparing onions and garlic.,3,kitchen
cleaver,тесак,The butcher used a heavy **cleaver** to split the chicken in half.,4,kitchen
mandoline,мандолина,Slice potatoes evenly using a **mandoline** for the perfect gratin.,5,kitchen
paring,небольшой нож,"Use a small **paring** knife to remove seeds from apples, please.",4,kitchen
serrated,зубчатый,A **serrated** blade cuts through crusty bread without crushing it.,4,kitchen
carving,разделочный,Grandpa sharpened the **carving** knife before slicing the holiday turkey.,4,kitchen
dicing,нарезка кубиками,"Proper **dicing** takes practice, but it makes every stew look neat.",3,kitchen
chopping,нарезка,Spend five minutes **chopping** vegetables before you start the sauce.,2,kitchen
slicing,нарезание,"Careful **slicing** of tomatoes requires a sharp, thin-bladed knife.",3,kitchen
mincing,мелкое измельчение,**Mincing** fresh garlic releases its flavor much better than crushing.,4,kitchen
shredding,шинковка,**Shredding** cabbage by hand takes longer but tastes better.,3,kitchen
grating,натирание,**Grating** parmesan fresh makes every pasta dish taste amazing.,3,kitchen
peeling,чистка,**Peeling** ginger is easier if you scrape it with a spoon.,3,kitchen
kneading,замешивание,Proper **kneading** develops the gluten that gives bread its structure.,4,kitchen
folding,аккуратное смешивание,**Folding** whipped egg whites gently keeps the batter light and airy.,4,kitchen
whipping,взбивание,**Whipping** heavy cream by hand builds strong arm muscles fast.,3,kitchen
mixing,смешивание,"Before **mixing**, make sure every ingredient is at room temperature.",2,kitchen
stirring,помешивание,Constant **stirring** prevents the custard from sticking to the pan.,2,kitchen
pouring,наливание,Slow **pouring** helps you avoid splashing hot soup everywhere.,2,kitchen
draining,слив,Thorough **draining** of the pasta keeps the sauce from turning watery.,3,kitchen
seasoning,приправа,Good **seasoning** transforms a plain piece of chicken into something special.,2,kitchen
marinating,маринование,Overnight **marinating** makes the meat extremely tender and flavorful.,4,kitchen
basting,поливание соком,Regular **basting** keeps the roast turkey moist throughout the cooking.,4,kitchen
poaching,варка в воде,Gentle **poaching** is the best method for cooking delicate fish fillets.,4,kitchen
reducing,уваривание,Slow **reducing** concentrates the flavor of the wine sauce beautifully.,4,kitchen
caramelizing,карамелизация,**Caramelizing** onions takes patience but creates incredible sweetness and depth.,5,kitchen
scrambled,омлет,I had **scrambled** eggs with buttered toast for breakfast today.,2,kitchen
braised,тушёный,The **braised** short ribs melted right off the bone at dinner.,4,kitchen
stewed,тушёный,**Stewed** apples with cinnamon taste wonderful over vanilla ice cream.,3,kitchen
sauteed,пассерованный,Quickly **sauteed** mushrooms make a simple but elegant side dish.,4,kitchen
cured,вяленый,Italian **cured** meats hang in the shop window for months.,4,kitchen
fermented,ферментированный,Kimchi is a classic Korean **fermented** vegetable dish with spicy flavor.,4,kitchen
brined,засоленный,A **brined** turkey always turns out juicier than an unbrined one.,4,kitchen
seasoned,приправленный,Well **seasoned** fries need no extra salt on the side.,2,kitchen
stuffed,фаршированный,Mom baked **stuffed** bell peppers filled with rice and meat yesterday.,3,kitchen
breaded,панированный,The **breaded** chicken cutlets fried up crispy and perfectly golden brown.,3,kitchen
battered,в кляре,"The deep-fried **battered** fish, served hot, is a British classic.",4,kitchen
glazed,глазированный,The **glazed** donuts shone under the bakery display case lights.,3,kitchen
caramelized,карамелизованный,Top the tart with **caramelized** apple slices for an elegant finish.,5,kitchen
charred,обугленный,Slightly **charred** peppers taste smoky and wonderful in salsa.,4,kitchen
undercooked,недоваренный,"Sadly, the pasta was **undercooked** and too hard to chew.",3,kitchen
overcooked,переваренный,Don't leave the broccoli too long or it becomes **overcooked** and mushy.,3,kitchen
browned,обжаренный,Properly **browned** meat forms the flavor base of any great stew.,3,kitchen
seared,обжаренный,A quickly **seared** tuna steak stays pink and tender in the middle.,4,kitchen
crunchy,хрустящий,I love the **crunchy** texture of fresh celery sticks with dip.,2,kitchen
soggy,раскисший,Nobody enjoys **soggy** cereal floating in warm milk for breakfast.,3,kitchen
stringy,волокнистый,Old celery becomes **stringy** and hard to chew at the table.,4,kitchen
rubbery,резиновый,Overcooked calamari turns **rubbery** and unpleasant to eat very quickly.,4,kitchen
moist,влажный,A good chocolate cake should be rich and very **moist** inside.,2,kitchen
mouthful,полный рот,He took a huge **mouthful** of pasta and smiled happily.,3,kitchen
nibble,откусывать,The kids **nibble** on carrot sticks while watching cartoons together.,3,kitchen
gobble,быстро проглотить,Please don't **gobble** your food so quickly during dinner.,3,kitchen
spoonful,ложка,Add a generous **spoonful** of sour cream to the borscht.,2,kitchen
cupful,полная чашка,Pour a **cupful** of hot water over the instant noodles.,3,kitchen
morsel,кусочек,Not a single **morsel** of cake was left on the plate.,4,kitchen
tidbit,лакомство,Grandma saves the tastiest **tidbit** of roast beef for the dog.,5,kitchen
sliver,тонкий ломтик,Cut a thin **sliver** of lime for the cocktail garnish.,4,kitchen
shaving,стружка,Top the risotto with a delicate **shaving** of black truffle.,4,kitchen
refrigerator,холодильник,Store the leftover soup in the **refrigerator** for up to three days.,2,kitchen
baker,пекарь,The local **baker** starts kneading dough at four in the morning.,2,kitchen
cookery,кулинария,Italian **cookery** relies on a few simple fresh ingredients.,4,kitchen
kitchenware,кухонная утварь,My aunt collects vintage **kitchenware** from the nineteen fifties.,4,kitchen
crockpot,мультиварка,"Before work, throw everything into the **crockpot** for dinner tonight.",4,kitchen
microwavable,пригодный для микроволновки,"Buy **microwavable** containers for the office, they save so much time.",4,kitchen
ovenproof,жаропрочный,Use only **ovenproof** dishes when baking at high temperatures.,4,kitchen
sprig,веточка,Garnish the cocktail with a fresh **sprig** of mint leaves.,4,kitchen
cob,початок,Grilled corn on the **cob** with butter tastes like summer itself.,3,kitchen
pod,стручок,Split the vanilla **pod** lengthwise and scrape out the seeds.,4,kitchen
strip,полоска,Cut the bacon into a thin **strip** before frying it.,2,kitchen
slab,кусок,Carve off a thick **slab** of prime rib for each guest.,4,kitchen
hunk,большой кусок,Tear off a **hunk** of crusty bread to dip in the sauce.,4,kitchen
parboil,предварительно отварить,**Parboil** the potatoes for ten minutes before you roast them.,5,kitchen
render,вытапливать,**Render** the bacon fat slowly over very low heat.,5,kitchen
emulsify,эмульгировать,Slowly whisk in olive oil to **emulsify** the vinaigrette properly.,5,kitchen
macerate,вымачивать,**Macerate** the strawberries in sugar for about twenty minutes.,5,kitchen
brine,рассол,Soak the pickles in salty **brine** with garlic and dill.,4,kitchen
smoker,коптильня,Dad built a wooden **smoker** in the backyard last summer.,4,kitchen
mortar,ступка,Crush the spices in a stone **mortar** to release their aroma.,4,kitchen
rotisserie,вертел,A **rotisserie** chicken from the supermarket saves busy weeknight dinners.,4,kitchen
