dizziness,головокружение,Standing up too fast can cause sudden **dizziness**.,3,health
twitch,дёргаться,His eye began to **twitch** from too much screen time.,3,health
numbness,онемение,**Numbness** in her fingers suggested a circulation problem.,4,health
obesity,ожирение,Childhood **obesity** is linked to poor dietary habits.,4,health
anemia,анемия,Iron supplements can treat mild **anemia** effectively.,4,health
epilepsy,эпилепсия,She was diagnosed with **epilepsy** at the age of twelve.,4,health
phobia,фобия,His **phobia** of needles made every injection difficult.,3,health
deficiency,дефицит,A vitamin D **deficiency** is common in northern climates.,4,health
aerobic,аэробный,Walking is a simple but effective **aerobic** activity.,4,health
anaerobic,анаэробный,Sprinting is an **anaerobic** exercise that builds power.,5,health
rehabilitation,реабилитация,After the injury she spent months in **rehabilitation**.,4,health
physiotherapy,физиотерапия,His doctor referred him to **physiotherapy** after surgery.,4,health
immunization,иммунизация,Childhood **immunization** has eliminated many deadly diseases.,5,health
resuscitation,реанимация,The team performed **resuscitation** until the ambulance arrived.,5,health
consultation,консультация,He booked a **consultation** with a nutritionist this week.,3,health
outpatient,амбулаторный,The procedure was done on an **outpatient** basis.,5,health
inpatient,стационарный,Severe cases require **inpatient** treatment at the hospital.,5,health
respiratory,дыхательный,Smoking causes serious **respiratory** problems over time.,4,health
digestive,пищеварительный,Probiotics support a healthy **digestive** system.,4,health
cardiovascular,сердечно-сосудистый,Regular exercise strengthens the **cardiovascular** system.,4,health
endocrine,эндокринный,The thyroid is part of the **endocrine** system.,5,health
skeletal,скелетный,Calcium is essential for **skeletal** health and bone density.,5,health
muscular,мышечный,The trainer assessed his **muscular** strength and endurance.,4,health
immune,иммунный,A balanced diet supports a strong **immune** response.,3,health
bruising,образование синяков,Easy **bruising** can be a sign of low platelet count.,4,health
inflammation,воспаление,Ice and rest help reduce **inflammation** after a sprain.,4,health
sterile,стерильный,Always use **sterile** equipment when treating open wounds.,4,health
cope,справляться,She learned to **cope** with anxiety through daily meditation.,3,health
coping,совладание,**Coping** strategies help reduce the impact of daily stress.,3,health
aftercare,послелечебный уход,"After surgery, the nurse explained the **aftercare** instructions in detail.",4,health
disorder,расстройство,Eating **disorder** treatment requires both medical and emotional support.,3,health
psychologist,психолог,She visits her **psychologist** every two weeks for talk therapy.,4,health
overdose,передозировка,He was rushed to hospital after an accidental **overdose** of sleeping pills.,4,health
lymph,лимфа,The **lymph** system helps filter harmful substances from the body.,4,health
platelet,тромбоцит,Low **platelet** counts can cause slow clotting and easy bruising.,5,health
clotting,свёртывание,Vitamin K plays a key role in blood **clotting** after injury.,4,health
incision,разрез,"The surgeon made a small **incision**, just three centimetres long.",4,health
needle,игла,Some people feel faint at the sight of a **needle**.,2,health
ecg,ЭКГ,The doctor ordered an **ecg** to check for irregular heartbeat.,4,health
urine,моча,The lab tested her **urine** to check for signs of infection.,3,health
follow-up,повторный приём,"Please book a **follow-up** appointment in two weeks, the doctor said.",3,health
recovery,восстановление,Full **recovery** after knee surgery can take up to six months.,2,health
mole,родинка,The dermatologist examined every **mole** on her back carefully.,3,health
wart,бородавка,A small **wart** appeared on his thumb last winter.,3,health
cyst,киста,The ultrasound revealed a harmless **cyst** on her left ovary.,4,health
onset,начало,Early treatment is most effective at the **onset** of symptoms.,4,health
compress,компресс,Apply a cold **compress** to the bruise for twenty minutes.,3,health
spine,позвоночник,Good posture protects your **spine** from long-term damage.,3,health
vertebra,позвонок,A fractured **vertebra** can cause severe pain and limited movement.,5,health
sinus,синус,Her **sinus** pressure made it hard to breathe through her nose.,3,health
abscess,абсцесс,The dentist drained the **abscess** and prescribed a course of antibiotics.,5,health
urinary,мочевыводящий,Drinking enough water helps prevent **urinary** tract infections.,4,health
renal,почечный,Chronic **renal** disease requires regular dialysis treatment.,5,health
hepatic,печёночный,Alcohol abuse leads to serious **hepatic** damage over time.,5,health
thyroid,щитовидная железа,An underactive **thyroid** can cause fatigue and unexpected weight gain.,4,health
diabetic,диабетический,A **diabetic** diet limits sugar and refined carbohydrates strictly.,4,health
anorexia,анорексия,**Anorexia** is a serious eating disorder that requires professional treatment.,4,health
bulimia,булимия,**Bulimia** involves cycles of binge eating followed by purging behaviour.,4,health
purge,очищать,Some people with eating disorders **purge** after meals to control weight.,4,health
flare-up,обострение,Cold weather often triggers a **flare-up** of her joint pain.,4,health
self-care,самозабота,Regular **self-care** habits reduce stress and improve overall mood.,3,health
x-ray,рентген,The doctor ordered an **x-ray** to check for any broken bones.,2,health
nosebleed,кровотечение из носа,He got a **nosebleed** after blowing his nose too hard.,2,health
bloating,вздутие живота,Eating too fast often leads to uncomfortable **bloating** after meals.,3,health
indigestion,несварение желудка,Spicy food before bed can cause painful **indigestion** at night.,3,health
heartburn,изжога,He felt **heartburn** rising in his chest after eating greasy food.,3,health
reflux,рефлюкс,Acid **reflux** can damage the lining of your throat over time.,4,health
mucus,слизь,Excess **mucus** production is a common symptom of a bad cold.,3,health
phlegm,мокрота,He coughed up thick **phlegm** every morning for two weeks.,4,health
pus,гной,The infected wound was red and filled with **pus**.,3,health
polyp,полип,A routine colonoscopy found a small **polyp** in his colon.,5,health
acne,акне,She treated her **acne** with a gel prescribed by the dermatologist.,2,health
eczema,экзема,Her **eczema** flared up badly during the cold and dry winter.,4,health
psoriasis,псориаз,**Psoriasis** causes red scaly patches to appear on the skin.,4,health
frostbite,обморожение,The mountaineer lost two toes to severe **frostbite** during the blizzard.,4,health
sunburn,солнечный ожог,Apply aloe vera gel to soothe a painful **sunburn**.,2,health
tingling,покалывание,She felt a **tingling** sensation in her left arm after the injection.,3,health
exhaustion,истощение,Running forty kilometres led to complete physical **exhaustion**.,3,health
