savings account,сберегательный счёт,She opened a **savings account** to set money aside each month.,2,bank
checking account,текущий счёт,His **checking account** was linked to his debit card.,2,bank
current account,текущий счёт,She moved her salary into a **current account** at the new bank.,2,bank
joint account,совместный счёт,The couple opened a **joint account** after getting married.,2,bank
interest rate,процентная ставка,The **interest rate** on the mortgage was fixed for five years.,3,bank
standing order,постоянное поручение,He set up a **standing order** to pay rent automatically each month.,3,bank
direct debit,прямой дебет,"A **direct debit** is the easiest way to pay regular bills, like utilities.",3,bank
wire transfer,банковский перевод,She sent the payment via **wire transfer** to the overseas supplier.,3,bank
top-up,пополнение,He did a quick **top-up** to put money on his prepaid card.,2,bank
foreign currency,иностранная валюта,The kiosk at the airport offers **foreign currency** exchange.,3,bank
exchange rate,обменный курс,She checked the **exchange rate** before converting her euros to dollars.,2,bank
transaction limit,лимит транзакции,The card had a **transaction limit** of five hundred dollars per day.,3,bank
identity theft,кража личных данных,She reported **identity theft** after her account was opened fraudulently.,4,bank
safe deposit box,сейфовая ячейка,He kept his passport in a **safe deposit box** at the bank.,3,bank
two-factor authentication,двухфакторная аутентификация,The bank requires **two-factor authentication** for every login.,4,bank
compound interest,сложные проценты,**Compound interest** means you earn interest on your interest over time.,4,bank
savings,сбережения,She kept her **savings** in a high-yield account.,2,bank
guarantor,поручитель,The landlord asked for a **guarantor** before signing the lease.,4,bank
repayment,погашение,His monthly **repayment** on the car loan was three hundred euros.,3,bank
mobile banking,мобильный банкинг,**Mobile banking** lets you check your balance without visiting a branch.,2,bank
online banking,интернет-банкинг,She manages all her finances through **online banking**.,2,bank
e-statement,электронная выписка,He opted for an **e-statement** instead of paper mail.,2,bank
standing charge,фиксированная плата,The account had a small **standing charge** deducted every month.,3,bank
savings goal,цель накопления,She set a **savings goal** of two thousand dollars for the holiday.,2,bank
credit score,кредитный рейтинг,Paying bills on time will improve your **credit score** steadily.,3,bank
credit limit,кредитный лимит,The bank raised his **credit limit** after two years of good history.,3,bank
bank statement,банковская выписка,He printed his **bank statement** to verify the suspicious payment.,2,bank
overdraft fee,плата за овердрафт,She was charged an **overdraft fee** for going a few cents below zero.,3,bank
account number,номер счёта,Always double-check the **account number** before sending a transfer.,2,bank
sort code,код банка,The **sort code** identifies which branch holds your account.,3,bank
IBAN,IBAN,She sent the invoice with her **IBAN** so the client could pay directly.,3,bank
SWIFT code,SWIFT-код,International transfers require a **SWIFT code** to reach the correct bank.,4,bank
minimum balance,минимальный баланс,"The account requires a **minimum balance** of one hundred dollars, or fees apply.",3,bank
cash withdrawal,снятие наличных,He made a **cash withdrawal** at the airport ATM before the trip.,2,bank
contactless payment,бесконтактная оплата,**Contactless payment** is faster than entering your PIN at the checkout.,2,bank
bank charges,банковские комиссии,She switched banks to avoid the high **bank charges** on her old account.,3,bank
account holder,владелец счёта,Only the **account holder** can authorise large transfers.,2,bank
debit order,дебетовое поручение,The gym fee is collected by **debit order** on the first of every month.,3,bank
blocked card,заблокированная карта,Her **blocked card** left her unable to pay for groceries.,2,bank
card reader,картридер,The cashier inserted the card into the **card reader** to process payment.,2,bank
card number,номер карты,Never share your full **card number** over an unsecured connection.,2,bank
payment gateway,платёжный шлюз,The website uses a secure **payment gateway** to process credit cards.,4,bank
direct deposit,прямой депозит,Her salary arrives via **direct deposit** every second Friday.,2,bank
money market,денежный рынок,He parked his savings in a **money market** account for a higher return.,4,bank
grace period,льготный период,The credit card offers a thirty-day **grace period** before interest accrues.,4,bank
annual fee,годовая комиссия,The premium card carries a high **annual fee** but offers great rewards.,3,bank
bank transfer,банковский перевод,She completed a **bank transfer** to cover the deposit on the flat.,2,bank
loan application,заявка на кредит,He filled in a **loan application** online and received a decision in minutes.,3,bank
credit history,кредитная история,A long **credit history** with no missed payments opens better loan offers.,3,bank
debit transaction,дебетовая транзакция,Each **debit transaction** is deducted from your available balance immediately.,3,bank
currency exchange,обмен валюты,She went to the bank for **currency exchange** before her trip.,2,bank
cheque book,чековая книжка,He asked the bank for a new **cheque book** to pay his suppliers.,3,bank
bank account,банковский счёт,Opening a **bank account** is the first step to managing your money.,1,bank
teller machine,банкомат,The **teller machine** outside the bank was out of service all weekend.,2,bank
financial institution,финансовое учреждение,A credit union is a member-owned **financial institution**.,4,bank
micro-payment,микроплатёж,The app charges a small **micro-payment** for each article you read.,3,bank
cashier's check,кассовый чек,The seller required a **cashier's check** for the full purchase price.,3,bank
bank fee,банковский сбор,She noticed an unexpected **bank fee** on her monthly statement.,2,bank
balance inquiry,запрос баланса,A quick **balance inquiry** showed she had enough to cover rent.,2,bank
fund transfer,перевод средств,The **fund transfer** between accounts was completed instantly online.,3,bank
foreign transaction fee,комиссия за зарубежную транзакцию,Her card charges a **foreign transaction fee** of two percent abroad.,4,bank
payment plan,план платежей,He agreed to a **payment plan** to repay the debt in six months.,3,bank
recurring payment,регулярный платёж,"She set up a **recurring payment** for her streaming subscription, charged monthly.",3,bank
bank card,банковская карта,He lost his **bank card** and called immediately to have it cancelled.,1,bank
auto-pay,автоплатёж,She enabled **auto-pay** so her credit card bill would never be overdue.,2,bank
cash deposit,внесение наличных,He made a **cash deposit** of five hundred euros at the teller window.,2,bank
transfer fee,комиссия за перевод,The bank waives the **transfer fee** if you use their mobile app.,3,bank
account closure,закрытие счёта,She submitted the form requesting **account closure** after moving banks.,3,bank
net banking,интернет-банкинг,**Net banking** allows customers to manage accounts from any device.,2,bank
bank holiday,банковский выходной,Payments made on a **bank holiday** are usually processed the following business day.,2,bank
overdraft protection,защита от овердрафта,He linked his savings account as **overdraft protection** on his current account.,3,bank
credit card debt,задолженность по кредитной карте,She worked hard to pay off her **credit card debt** within a year.,3,bank
high-yield account,высокодоходный счёт,A **high-yield account** offers significantly better interest than a standard savings account.,4,bank
cash back,кэшбэк,The card gives two percent **cash back** on all supermarket purchases.,2,bank
penalty charge,штрафная комиссия,He received a **penalty charge** for exceeding his overdraft limit.,3,bank
loan term,срок кредита,"The longer the **loan term**, the lower the monthly payment but the more interest you pay.",3,bank
account verification,верификация счёта,The bank sent a small test payment to complete **account verification**.,3,bank
payment deadline,срок платежа,Missing the **payment deadline** can result in late fees and credit damage.,3,bank
interest payment,выплата процентов,Each month she makes an **interest payment** before the principal is reduced.,3,bank
spending limit,лимит расходов,She set a daily **spending limit** on her card to help stay within budget.,2,bank
